Harbour Province Name,SCH Harbour Code,Harbour Name,Number,Name,,A,B,C,"Average Landed Value, 2009-2013 ($CAD)","Average Landed Quantity, 2009-2013 (KG)",Change in Total Landed Quantity (2004 and 2013),Number of Active Vessels Port of Landing (2013),"Number of Active Vessels, Port of Landing (2009-2013)",Average Fishing Income (2009-2012),Average Income with Tax Filers (2009-2012),% of Average Fishing Income to Average Employment Income (2009-2012) (based on 2006 CSD boundaries),Total Population For CSD (2011),,
Newfoundland & Labrador,621,CARMANVILLE,1008008,"Division No.  8, Subd. L",,,,,6383226,3143702,0.7108,37,37,120343,7955259,0.0151,3105,,
Nova Scotia,1049,CARTERS POINT (MURPHY'S COVE),1209034,Halifax,,,,,262054,43159,0.1483,5,4,8295382,1795405559,0.0046,390096,,
Newfoundland & Labrador,739,CARTWRIGHT,1010012,,,,,,1676096,512969,-0.0678,12,16,329983,1703798,0.1937,516,,
Prince Edward Island,,CASCUMPEC,1103041,,,,,,17900,4063,-0.7766,1,1,NA,NA,NA,828,,
Prince Edward Island,,CASCUMPEC BAY,,,,,,,79851,31207,-0.9891,1,1,NA,NA,NA,NA,,
Prince Edward Island,,CASCUMPEC HARBOUR,,,,,,,329,158,-0.6526,1,0,NA,NA,NA,NA,,
Newfoundland & Labrador,751,CASTORS RIVER NORTH,1009021,"Division No.  9, Subd. C",,,,,40875,16710,0.5572,5,8,1381827,7979120,0.1732,2729,,
Newfoundland & Labrador,,CASTORS RIVER SOUTH,1009021,"Division No.  9, Subd. C",,,,,69498,12800,0.7320,9,9,1381827,7979120,0.1732,2729,,
Newfoundland & Labrador,101,CATALINA,1007022,Trinity Bay North,,,,,8582310,3398127,-0.4257,61,65,81708,3295174,0.0248,1827,,
Nova Scotia,1403,CENTRAL PORT MOUTON - FISHERMEN'S WHARF,1204010,Queens,,,,,NA,NA,NA,NA,81,2613644,28495307,0.0917,10917,,
Newfoundland & Labrador,103,CENTREVILLE,1007051,"Division No.  7, Subd. B",,,,,1438270,160151,-0.5738,9,9,NA,NA,NA,25,,
Nova Scotia,1051,CENTREVILLE (TROUT COVE),1203004,Digby,,,,,NA,NA,NA,NA,NA,2347740,15260532,0.1538,7463,,
New Brunswick,,CHAMCOOK,1302024,,,,,,21946,435292,-0.0486,NA,1,NA,NA,NA,593,,
Newfoundland & Labrador,,CHAMPNEY'S EAST,,,,,,,3225,737,0.3648,1,1,NA,NA,NA,NA,,
Newfoundland & Labrador,106,CHAMPNEY'S WEST,1007014,"Division No.  7, Subd. J",,,,,46070,37511,-0.7341,4,6,NA,NA,NA,498,,
Newfoundland & Labrador,107,CHANCE COVE,1001259,"Division No.  1, Subd. A",,,,,76364,341985,-0.7826,4,5,171213,1644639,0.1041,757,,
New Brunswick,2530,CHANCE HARBOUR,1301016,Musquash,,,,,686864,159154,-0.1943,4,9,37714,3001258,0.0126,1200,,
Quebec,,CHANDLER,2402028,Chandler,,,,,147956,15280,-0.0174,3,2,197415,6464492,0.0305,7703,,
Newfoundland & Labrador,108,CHANGE ISLANDS,1008024,Change Islands,,,,,468471,158695,0.1098,17,19,51594,504338,0.1023,257,,
Newfoundland & Labrador,109,CHANNEL (PORT AUX BASQUES),1003034,Channel-Port aux Basques,,,,,1247987,1852623,-0.7164,20,27,178409,17820843,0.0100,4170,,
Nova Scotia,,CHAPEL COVE,,,,,,,290845,30896,-0.5560,1,2,NA,NA,NA,NA,,
Nova Scotia,,CHARLOS COVE,1213004,Guysborough,,,,,324360,33209,1.2618,2,1,2189058,11035667,0.1984,4189,,
Newfoundland & Labrador,800,CHARLOTTETOWN,1010013,Charlottetown,54806,Shellfish - Lobster,Groundfish - Cod,Other,109284,103626,-0.8370,2,4,472355,1401541,0.3370,308,,
Newfoundland & Labrador,,"CHARLOTTETOWN, BONAVISTA BAY",,,,,,,11064,14963,0.6013,2,1,NA,NA,NA,NA,,
Newfoundland & Labrador,,"CHARLOTTETOWN, LABRADOR",1010013,Charlottetown,,,,,6616465,5020632,-0.1301,15,20,472355,1401541,0.3370,308,,
Nova Scotia,,CHEBOGUE,,,,,,,323544,91402,-0.6701,1,2,NA,NA,NA,NA,,
Nova Scotia,1054,CHEBOGUE (TOWN POINT HILL),1202004,Yarmouth,NYA,NYA,NYA,NYA,132668,128030,-0.9435,1,2,2575595,17774581,0.1449,10105,,
Nova Scotia,1056,CHEGOGGIN POINT,1202004,Yarmouth,NYA,NYA,NYA,NYA,3677824,506976,0.5542,12,17,2575595,17774581,0.1449,10105,,
Nova Scotia,,CHESTER,1206009,Chester,,,,,60544,6537,45.7686,3,2,514888,24549564,0.0210,10599,,
Nova Scotia,,CHESTER BASIN,1206009,Chester,,,,,127411,12877,0.9177,2,3,514888,24549564,0.0210,10599,,
Nova Scotia,,CHETICAMP,1215011,"Inverness, Subd. A",,,,,17006582,3284263,-0.1564,82,76,1281897,14555042,0.0881,5280,,
Nova Scotia,1061,CHETICAMP - TOWN WHARF,1215011,"Inverness, Subd. A",NYA,NYA,NYA,NYA,NA,NA,NA,NA,NA,1281897,14555042,0.0881,5280,,
Nova Scotia,1411,CHETICAMP (LA DIGUE),1215011,"Inverness, Subd. A",NYA,NYA,NYA,NYA,NA,NA,NA,NA,NA,1281897,14555042,0.0881,5280,,
Quebec,,CHEVERY,2498015,Côte-Nord-du-Golfe-du-Saint-Laurent,,,,,8767,2057,-0.6805,2,1,485754,3848627,0.1262,971,,
Quebec,3553,CHEVERY (RIVIERE CROSS) - QUAI,2498015,Côte-Nord-du-Golfe-du-Saint-Laurent,DNC,Pelagic - Pacific Salmon,N/A,N/A,NA,NA,NA,NA,NA,485754,3848627,0.1262,971,,
Quebec,4081,CHEVERY (RIVIÈRE CROSS) - RAMPE DE LANCEMENT,2498015,Côte-Nord-du-Golfe-du-Saint-Laurent,NYA,NYA,NYA,NYA,NA,NA,NA,NA,NA,485754,3848627,0.1262,971,,
Nova Scotia,,CHEZZETCOOK,1209034,Halifax,,,,,21420,9037,11.3459,NA,1,8295382,1795405559,0.0046,390096,,
New Brunswick,2531,CHOCKPISH (CÔTE-SAINTE-ANNE),1308016,Richibucto,DNC,Pelagic - Pacific Salmon,Shellfish - Shrimp,N/A,1215007,447981,0.8677,16,24,411615,4838284,0.0851,1986,,
Nova Scotia,,CHURCH POINT,,,,,,,2783,1268,0.5229,NA,0,NA,NA,NA,NA,,
Nova Scotia,,CHURCHOVER,1201006,Shelburne,,,,,994449,244433,-0.8332,7,7,622600,2383982,0.2612,4408,,
Nova Scotia,,CLAM HARBOUR,1209034,Halifax,,,,,14141,6806,-0.4722,NA,NA,8295382,1795405559,0.0046,390096,,
Nova Scotia,,CLAM POINT,1201001,Barrington,,,,,2208958,301607,-0.3193,10,14,7802274,18868721,0.4135,6994,,
Newfoundland & Labrador,,CLARENVILLE,1007013,Division No. 7,,,,,77597,38435,3.3150,NA,1,555525,38099291,0.0146,6036,,
Nova Scotia,1068,CLARK'S HARBOUR,1201001,Barrington,,,,,501,2583364,-0.2553,59,67,7802274,18868721,0.4135,6994,,
Nova Scotia,,CLEARLANDS,,,,,,,5477,5813,948.1667,NA,NA,NA,NA,NA,NA,,
Quebec,3558,CLORIDORME,2403010,Cloridorme,,,,,1453653,676655,1.2680,11,10,310970,1884071,0.1651,743,,
Newfoundland & Labrador,117,COACHMAN'S COVE,1008092,Coachman's Cove,,,,,59660,246426,1.0866,7,8,NA,NA,NA,92,,
Newfoundland & Labrador,,COBBS ARM,1008031,"Division No.  8, Subd. H",,,,,44856,21491,-0.8492,NA,2,518941,4950205,0.1048,2043,,
New Brunswick,,COCAGNE ,1308001,Dundas,,,,,11817,2467,0.1446,NA,1,297265,25686429,0.0116,6282,,
New Brunswick,,COCAGNE BAR ,1308001,Dundas,,,,,496254,94928,-0.6299,8,11,297265,25686429,0.0116,6282,,
New Brunswick,,COCAGNE CAPE,1308001,Dundas,,,,,46898,19928,-0.9765,1,3,297265,25686429,0.0116,6282,,
New Brunswick,,COCAGNE RIVER,1308001,Dundas,,,,,8308,5746,0.1425,1,2,297265,25686429,0.0116,6282,,
Nova Scotia,,CODDLE HARBOUR,1213004,Guysborough,,,,,550149,57178,1.1619,1,2,2189058,11035667,0.1984,4189,,
Newfoundland & Labrador,118,CODROY,1004001,"Division No.  4, Subd. A",,,,,813969,503697,-0.3540,17,24,61854,4553505,0.0136,1810,,
Nova Scotia,,COLE HARBOUR,1209019,,,,,,426236,61727,-0.5855,4,3,NA,NA,NA,194,,
Prince Edward Island,,COLEMAN,1103044,,,,,,20606,9084,311.3711,2,1,101613,1951184,0.0521,306,,
Quebec,,COLOMBIER (SAINT-THERESE),2495050,,,,,,3987,2650,-0.9953,1,0,NA,NA,NA,747,,
Newfoundland & Labrador,,COME BY CHANCE,1001274,Division No. 1,,,,,2979,372,-0.9759,NA,1,44658,1689029,0.0264,247,,
Nova Scotia,,COMEAUVILLE,1203001,Clare,,,,,9758,72134,-0.9912,1,1,3859802,20826716,0.1853,8319,,
Newfoundland & Labrador,122,COMFORT COVE,1008036,"Division No.  8, Subd. G",,,,,731874,597421,0.8793,10,12,29,820,0.0352,452,,
Newfoundland & Labrador,123,CONCEPTION HARBOUR,1001461,Conception Harbour,,,,,2729,990,-0.7678,1,1,NA,NA,NA,697,,
Newfoundland & Labrador,124,CONCHE,1009001,"Division No.  9, Subd. F",,,,,332145,384290,1.2850,17,16,8786,187678,0.0468,77,,
Newfoundland & Labrador,125,CONNE RIVER,1003014,"Division No.  3, Subd. D",,,,,NA,NA,NA,NA,NA,183812,886915,0.2072,265,,
Prince Edward Island,,CONWAY,1103036,,,,,,14720,8291,15.6247,1,1,NA,NA,NA,499,,
Prince Edward Island,,CONWAY NARROWS,,,,,,,105561,35854,-0.8816,NA,1,NA,NA,NA,NA,,
Nova Scotia,,COOK'S COVE,1213004,Guysborough,,,,,98812,10146,1.1473,1,1,2189058,11035667,0.1984,4189,,
Newfoundland & Labrador,126,COOK'S HARBOUR,1009031,"Division No.  9, Subd. D",,,,,2615368,1644309,-0.4952,16,20,1063069,13904936,0.0765,815,,
Newfoundland & Labrador,127,COOMB'S COVE,1003001,"Division No.  3, Subd. A",,,,,93337,11832,NA,NA,3,NA,NA,NA,5,,
Nova Scotia,1074,COOPERS POINT,1209034,Halifax,,,,,NA,NA,NA,NA,NA,8295382,1795405559,0.0046,390096,,
Nova Scotia,,COTTAGE COVE,1205014,,,,,,3794,371,-0.9915,1,0,NA,NA,NA,5016,,
Newfoundland & Labrador,129,COTTLESVILLE,1008031,"Division No.  8, Subd. H",,,,,1230932,961601,0.3055,12,13,518941,4950205,0.1048,2043,,
Newfoundland & Labrador,,COTTRELL'S COVE,1008046,,,,,,21625,4734,-0.7944,5,5,12191,424317,0.0287,537,,
Nova Scotia,,COUNTRY HARBOUR,1213004,Guysborough,,,,,22110118,11542788,0.2148,1,2,2189058,11035667,0.1984,4189,,
Prince Edward Island,2018,COVEHEAD,1102052,Lot 34,,,,,1223626,174304,-0.4844,6,8,200157,11834117,0.0169,2577,,
Newfoundland & Labrador,131,COW HEAD,1009016,Cow Head,,,,,763658,251640,-0.5816,23,25,29412,1471595,0.0200,475,,
Newfoundland & Labrador,133,COX'S COVE,1005019,"Division No.  5, Subd. D",,,,,1131452,3329456,-0.3814,12,16,NA,NA,NA,5,,
Newfoundland & Labrador,,CRABBS RIVER,,,,,,,509877,130288,-0.2263,35,31,NA,NA,NA,NA,,
Nova Scotia,,CRIBBENS POINT,,,,,,,2136040,317734,-0.0206,18,18,NA,NA,NA,NA,,
Nova Scotia,1078,CRIBBONS POINT,1214001,"Antigonish, Subd. A",,,,,NA,NA,NA,NA,NA,NA,NA,NA,8253,,
Nova Scotia,1079,CRIPPLE CREEK,1201001,Barrington,,,,,NA,NA,NA,NA,NA,7802274,18868721,0.4135,6994,,
Nova Scotia,,CROUSETOWN ,1206001,Lunenburg,,,,,174,519,-0.8739,NA,0,3281566,61655736,0.0532,25118,,
Newfoundland & Labrador,,CULLS HARBOUR,1007038,"Division No.  7, Subd. D",,,,,4652,612,-0.9633,NA,0,143,4968,0.0288,232,,
Newfoundland & Labrador,136,CUPIDS,1001437,Cupids,,,,,3210289,1432239,-0.7019,9,11,40315,2251304,0.0179,761,,
Newfoundland & Labrador,,CURLING,1005018,,,,,,2327957,8342480,-0.3331,6,6,1046058,100987051,0.0104,19886,,
New Brunswick,,DALHOUSIE,1314008,,,,,,12860,14749,-0.9493,2,1,NA,NA,NA,2247,,
Newfoundland & Labrador,139,DANIEL'S HARBOUR,1009015,Daniel's Harbour,,,,,120440,77801,-0.3443,20,16,14220,1070752,0.0133,265,,
Prince Edward Island,,DARNLEY,1103016,Lot 18,,,,,192708,37389,0.2829,4,3,NA,NA,NA,1054,,
Newfoundland & Labrador,143,DAVIS COVE,1002044,"Division No.  2, Subd. L",,,,,162958,80147,-0.8897,9,13,NA,NA,NA,15,,
Newfoundland & Labrador,,DEADMAN'S BAY,1008001,"Division No.  8, Subd. M",,,,,25768,7782,-0.1291,3,2,50579,468656,0.1079,165,,
Nova Scotia,,DEBAIE COVE,1209034,Halifax,,,,,96991,10142,6.7362,1,1,8295382,1795405559,0.0046,390096,,
Newfoundland & Labrador,145,DEEP BAY,1008020,Fogo Island Region (Part),,,,,57729,28995,NA,NA,2,310592,1065836,0.2914,421,,
Newfoundland & Labrador,,DEEP BIGHT,1007001,"Division No.  7, Subd. M",,,,,4007,2387,0.2410,NA,NA,551443,8092174,0.0681,2055,,
Nova Scotia,,DEEP BROOK,1205004,"Annapolis, Subd. A",,,,,100227,42591,1.3599,3,1,1116846,8333732,0.1340,6008,,
Newfoundland & Labrador,,DEGRAS,1004022,"Division No.  4, Subd. E",,,,,132928,17303,1.0316,6,5,33,800,0.0414,1973,,
Nova Scotia,1084,DELAPS COVE,1205004,"Annapolis, Subd. A",,,,,1549966,168027,1.5187,4,5,1116846,8333732,0.1340,6008,,
Nova Scotia,1085,DENNIS POINT (LOWER WEST PUBNICO),1202001,Argyle,,,,,NA,NA,NA,NA,107,8301417,26998789,0.3075,8252,,
Nova Scotia,,D'ESCOUSSE,,,,,,,208839,14055,-0.8760,1,1,NA,NA,NA,NA,,
Nova Scotia,,DIGBY,,,,,,,20581086,7408561,-0.7979,74,75,NA,NA,NA,NA,,
New Brunswick,,DIGDEGUASH,1302021,,,,,,8763,174785,-0.9242,NA,0,NA,NA,NA,647,,
Newfoundland & Labrador,149,DILDO,1001304,"Division No.  1, Subd. E",,,,,761768,954450,-0.9977,9,19,622531,10172953,0.0612,2971,,
Newfoundland & Labrador,150,DILDO SOUTH,1001293,"Division No.  1, Subd. Y",,,,,NA,NA,NA,NA,NA,63354,4061758,0.0156,1175,,
Nova Scotia,1088,DINGWALL,1218006,"Victoria, Subd. A",,,,,2317511,283166,0.0697,25,27,1386636,6782866,0.2044,2769,,
New Brunswick,2542,DIPPER HARBOUR,1301016,Musquash,,,,,4548174,882574,0.0672,32,40,37714,3001258,0.0126,1200,,
Newfoundland & Labrador,152,DOVER,1007051,"Division No.  7, Subd. B",,,,,1105472,2575626,12.3445,17,24,NA,NA,NA,25,,
Nova Scotia,1154,DOVER (LITTLE DOVER),1213004,Guysborough,,,,,4377554,600343,1.9180,15,18,2189058,11035667,0.1984,4189,,
Nova Scotia,,DRUMHEAD,1213004,Guysborough,,,,,671871,70233,1.7797,NA,2,2189058,11035667,0.1984,4189,,
Nova Scotia,1090,DUBLIN SHORE,1206001,Lunenburg,,,,,324160,49936,0.5789,4,4,3281566,61655736,0.0532,25118,,
Prince Edward Island,,DUNK RIVER,,,,,,,651465,307143,-0.9508,1,1,NA,NA,NA,NA,,
Newfoundland & Labrador,155,DUNTARA,1007026,Duntara,,,,,4758,697,-0.9892,NA,1,NA,NA,NA,46,,
Newfoundland & Labrador,,DURRELLS,,,,,,,1038,146,-0.9916,NA,NA,NA,NA,NA,NA,,
Prince Edward Island,,EAST BIDEFORD,1103034,Lot 12,,,,,12077,4020,-0.6992,1,1,273015,3554215,0.0768,865,,
Nova Scotia,1064,EAST CHEZZETCOOK,1209034,Halifax,,,,,233557,44413,1.0308,6,6,8295382,1795405559,0.0046,390096,,
Nova Scotia,1092,EAST DOVER,1209034,Halifax,,,,,123003,12959,-0.9198,3,4,8295382,1795405559,0.0046,390096,,
Nova Scotia,,EAST FERRY,1203004,Digby,,,,,1236713,130959,-0.3543,5,5,2347740,15260532,0.1538,7463,,
Nova Scotia,,EAST JEDDORE,1209034,Halifax,,,,,5711103,5682152,-0.2976,36,33,8295382,1795405559,0.0046,390096,,
Nova Scotia,,EAST LA HAVE,1206001,Lunenburg,,,,,6404,762,-0.9978,1,1,3281566,61655736,0.0532,25118,,
Nova Scotia,,EAST PETPESWICK,1209034,Halifax,,,,,233442,25451,3.1046,3,4,8295382,1795405559,0.0046,390096,,
Nova Scotia,,EAST PUBNICO,1202001,Argyle,,,,,5042314,1669310,-0.0943,25,31,8301417,26998789,0.3075,8252,,
Nova Scotia,,EAST QUODDY,1209034,Halifax,,,,,47265,4550,-0.4379,2,1,8295382,1795405559,0.0046,390096,,
Nova Scotia,,EAST RIVER,,,,,,,518478,192120,-0.6612,5,6,NA,NA,NA,NA,,
Nova Scotia,,EAST SANDY COVE,,,,,,,83882,8436,-0.4771,NA,0,NA,NA,NA,NA,,
Nova Scotia,1095,EAST SIDE PORT L'HEBERT,1204010,Queens,,,,,940988,119410,-0.3197,6,NA,2613644,28495307,0.0917,10917,,
Nova Scotia,1098,EASTERN PASSAGE,1209034,Halifax,,,,,1928750,1107343,-0.5050,23,32,8295382,1795405559,0.0046,390096,,
Newfoundland & Labrador,,EASTPORT,1007042,,,,,,9731,2251,-0.7308,4,2,257058,2310868,0.1112,482,,
Nova Scotia,,ECONOMY,1210012,,,,,,56592,38496,1.2764,1,1,43187,17087049,0.0025,3642,,
Nova Scotia,,ECUM SECUM,1213001,St. Mary's,,,,,2036611,263428,2.1348,14,16,958481,6401724,0.1497,2354,,
Newfoundland & Labrador,157,EDDIES COVE EAST,1009021,"Division No.  9, Subd. C",,,,,107507,219613,0.9703,15,18,1381827,7979120,0.1732,2729,,
Newfoundland & Labrador,158,EDDIES COVE WEST,1009047,"Division No.  9, Subd. G",,,,,99800,41662,-0.1353,9,9,19852,79425,0.2500,49,,
Nova Scotia,,EEL BROOK,1202001,Argyle,,,,,5540,14916,-0.4351,1,1,8301417,26998789,0.3075,8252,,
New Brunswick,,EEL RIVER BRIDGE,1309001,Hardwicke,,,,,880776,113562,63.5097,16,12,1242919,7129048,0.1743,2329,,
Prince Edward Island,,EGMONT BAY,1103026,Lot 15,,,,,782886,237473,-0.3706,12,12,NA,NA,NA,1122,,
Prince Edward Island,,ELLERSLIE,1103034,Lot 12,,,,,486432,76229,26.5034,1,7,273015,3554215,0.0768,865,,
Newfoundland & Labrador,,EMBREE,1008043,,,,,,1350,1280,0.8615,1,1,NA,NA,NA,691,,
Newfoundland & Labrador,579,ENGLEE,1009004,Englee,,,,,1378950,1285853,-0.8447,1,26,205080,1203731,0.1704,583,,
Newfoundland & Labrador,757,"ENGLISH HARBOUR EAST, FORTUNE BAY",1002039,English Harbour East,,,,,294267,429547,-0.8301,12,12,72473,500098,0.1449,147,,
Newfoundland & Labrador,164,"ENGLISH HARBOUR WEST, FORTUNE BAY",1003003,St. Jacques-Coomb's Cove,,,,,535963,97287,-0.1490,21,18,380523,1579530,0.2409,618,,
Nova Scotia,,ENGLISHTOWN,1218001,"Victoria, Subd. B",,,,,333895,35101,1.1388,4,5,296959,13825550,0.0215,3828,,
Prince Edward Island,,ENMORE RIVER,,,,,,,546651,217113,-0.9535,1,1,NA,NA,NA,NA,,
New Brunswick,2548,ESCUMINAC,1309001,Hardwicke,,,,,5922036,2169691,-0.6793,70,71,1242919,7129048,0.1743,2329,,
Quebec,3574,ETANG-DU-NORD (L'ETANG-DU-NORD),2401023,Les Îles-de-la-Madeleine,,,,,4178104,912756,0.2488,42,NA,598409,1542285,0.3880,12291,,
Newfoundland & Labrador,168,FAIR HAVEN,1001259,"Division No.  1, Subd. A",,,,,345846,159298,-0.3739,12,13,171213,1644639,0.1041,757,,
Newfoundland & Labrador,,FAIR ISLAND,1007051,"Division No.  7, Subd. B",,,,,79583,34218,-0.7497,7,10,NA,NA,NA,25,,
New Brunswick,2550,FAIRHAVEN,1302006,West Isles,,,,,55252,513436,0.7030,NA,1,1374189,3062876,0.4487,731,,
Nova Scotia,1103,FALLS POINT,1201001,Barrington,,,,,10990,541,NA,NA,0,1201001,18868721,0.0637,6994,,
Nova Scotia,,FALSE BAY,,,,,,,612183,69024,0.9341,6,7,NA,NA,NA,NA,,
Newfoundland & Labrador,,FAREWELL ,,,,,,,15353,9171,-0.8748,2,0,NA,NA,NA,NA,,
Newfoundland & Labrador,,FELIX COVE,1004042,,,,,,96600,14765,0.0391,4,4,NA,NA,NA,447,,
Nova Scotia,1104,FELTZEN SOUTH,1206001,Lunenburg,,,,,251036,27846,0.8100,6,6,3281566,61655736,0.0532,25118,,
Newfoundland & Labrador,169,FERMEUSE,1001124,"Division No.  1, Subd. U",,,,,15772025,4113546,0.2282,90,107,348377,5856258,0.0595,1489,,
Newfoundland & Labrador,170,FERRYLAND,1001124,"Division No.  1, Subd. U",,,,,5058,4568,2.1431,3,4,348377,5856258,0.0595,1489,,
Nova Scotia,1105,FINLAY POINT,1215006,"Inverness, Subd. B",,,,,961614,131700,0.2668,10,12,589237,15990801,0.0368,5144,,
Nova Scotia,,FIRST SOUTH,1206001,Lunenburg,,,,,78284,8175,2.2127,1,1,3281566,61655736,0.0532,25118,,
Newfoundland & Labrador,171,FISCHELLS,1004006,"Division No.  4, Subd. B",,,,,NA,NA,NA,NA,NA,58334,3199737,0.0182,1298,,
Newfoundland & Labrador,,FISHELS,1004011,,,,,,189661,29855,-0.4711,9,10,NA,NA,NA,728,,
Nova Scotia,,FISHERMAN'S HARBOUR,1213001,St. Mary's,,,,,525535,54240,0.8666,3,3,958481,6401724,0.1497,2354,,
Prince Edward Island,2024,FISHING COVE,1103026,Lot 15,,,,,1967,3011,4.6154,1,1,NA,NA,NA,1122,,
New Brunswick,2551,FIVE FATHOM HOLE,1301016,Musquash,,,,,272051,36485,-0.2049,3,3,37714,3001258,0.0126,1200,,
Nova Scotia,,FIVE ISLANDS,1210012,,,,,,275378,76575,2.2255,NA,2,43187,17087049,0.0025,3642,,
Newfoundland & Labrador,637,FLAT BAY,1004011,,,,,,37205,5640,0.0406,4,3,NA,NA,NA,728,,
Newfoundland & Labrador,175,FLATROCK,1001507,Flatrock,,,,,109376,52861,-0.4732,9,11,165020,8432130,0.0196,1457,,
Newfoundland & Labrador,176,FLEUR DE LYS,1008075,Fleur de Lys,,,,,1097315,938926,-0.8653,24,28,79728,749008,0.1064,265,,
Nova Scotia,,FLORENCE,1217030,Cape Breton,,,,,3434,1002,-0.2121,1,2,4980681,329033792,0.0151,97398,,
Newfoundland & Labrador,177,FLOWER'S COVE,1009024,Flower's Cove,,,,,383228,784924,6.6223,19,22,181313,1937218,0.0936,308,,
Newfoundland & Labrador,178,FOGO,1008021,Fogo,,,,,2002273,871513,-0.1463,36,48,465482,2535016,0.1836,658,,
Nova Scotia,1109,FORBES POINT,1201001,Barrington,,,,,986889,160791,-0.0569,3,5,7802274,18868721,0.4135,6994,,
Quebec,,FORESTVILLE,2495045,La Haute-Cote-Nord,,,,,10659,6002,-0.9862,NA,1,81245,13198282,0.0062,3270,,
Newfoundland & Labrador,180,FORRESTERS POINT,1009021,"Division No.  9, Subd. C",,,,,114414,49000,7.1865,9,8,1381827,7979120,0.1732,2729,,
Newfoundland & Labrador,181,FORTEAU,1010005,Forteau,,,,,201674,610201,0.4794,16,14,101079,1676008,0.0603,429,,
Newfoundland & Labrador,182,FORTUNE,1002018,Fortune,,,,,7186854,3749791,-0.2732,57,53,925673,4463541,0.2074,1442,,
Newfoundland & Labrador,,FORTUNE HARBOUR,1008046,,,,,,8037,962,-0.6657,2,3,12191,424317,0.0287,537,,
Nova Scotia,,FOURCHU,1216011,"Richmond, Subd. B",,,,,2383059,294873,0.6526,11,10,494600,2546302,0.1942,1573,,
Newfoundland & Labrador,186,FOX HARBOUR,1001254,Fox Harbour,,,,,23153,8829,7.3118,2,2,72398,1040924,0.0696,270,,
Newfoundland & Labrador,,"FOX HARBOUR, P.B. (NEAR DUNVILLE)",1001254,Fox Harbour,,,,,273688,158979,-0.2772,10,11,72398,1040924,0.0696,270,,
Newfoundland & Labrador,187,FOX ISLAND RIVER,1004016,"Division No.  4, Subd. D",,,,,452487,888941,10.2261,9,13,NA,NA,NA,830,,
Nova Scotia,1111,FOX POINT,1206009,Chester,,,,,343564,33002,3.9658,5,5,514888,24549564,0.0210,10599,,
Newfoundland & Labrador,188,FOX ROOST,1003031,"Division No.  3, Subd. H",,,,,NA,NA,NA,NA,NA,NA,NA,NA,727,,
Prince Edward Island,,FOXLEY RIVER,1103036,,,,,,322875,107517,-0.8498,2,1,NA,NA,NA,499,,
Newfoundland & Labrador,189,FOXTRAP,1001485,Conception Bay South,,,,,252507,70081,-0.7502,8,11,650367,133894703,0.0049,24848,,
Newfoundland & Labrador,190,FRANCOIS,1003021,"Division No.  3, Subd. E",,,,,143762,56465,-0.8832,4,9,82651,363213,0.2276,114,,
Newfoundland & Labrador,,FREDERICKTON,1008008,"Division No.  8, Subd. L",,,,,16047,2176,-0.4464,2,1,120343,7955259,0.0151,3105,,
Nova Scotia,1405,FREEPORT (SOUTH COVE),1203004,Digby,,,,,NA,NA,NA,NA,NA,2347740,15260532,0.1538,7463,,
Nova Scotia,1112,FREEPORT-FISH POINT WHARF,1203004,Digby,,,,,NA,NA,NA,NA,NA,2347740,15260532,0.1538,7463,,
Prince Edward Island,2025,FRENCH RIVER,1102039,Lot 21,,,,,2465289,396456,-0.1142,21,25,NA,NA,NA,855,,
Prince Edward Island,2026,FRENCH RIVER -SOUTH LANDING,1102039,Lot 21,,,,,NA,NA,NA,NA,NA,NA,NA,NA,855,,
Nova Scotia,,FRENCH VILLAGE,1209034,Halifax,,,,,34410,3552,2.5424,1,1,8295382,1795405559,0.0046,390096,,
Newfoundland & Labrador,193,FRENCHMAN'S COVE (BAY OF ISLANDS),1005019,"Division No.  5, Subd. D",,,,,126210,380079,7.6639,14,8,NA,NA,NA,5,,
Newfoundland & Labrador,,"FRENCHMAN'S COVE, FORTUNE BAY",1002017,,,,,,189591,24824,0.2089,3,4,32232,467716,0.0689,172,,
Nova Scotia,,GABAROUSE,1217030,Cape Breton,,,,,1192556,169178,1.8930,8,8,4980681,329033792,0.0151,97398,,
Nova Scotia,1136,GAMMONS CREEK (JOHN VOGLERS SHORE),1209034,Halifax,,,,,NA,NA,NA,NA,NA,8295382,1795405559,0.0046,390096,,
Newfoundland & Labrador,197,GARDEN COVE,1002048,"Division No.  2, Subd. K",,,,,137626,87415,-0.6047,8,9,69550,2212683,0.0314,595,,
Newfoundland & Labrador,198,GARNISH,1002021,Garnish,,,,,1635347,277824,-0.0701,25,28,313236,2392248,0.1309,545,,
Quebec,3992,GASCONS (ANSE-À-LA-BARBE),2402047,Port-Daniel--Gascons,,,,,297104,43621,1.4564,4,4,151184,2826944,0.0535,2453,,
Quebec,3583,GASCONS (RUISSEAU-CHAPADOS),2402047,Port-Daniel--Gascons,,,,,678275,248271,-0.9901,3,10,151184,2826944,0.0535,2453,,
Nova Scotia,,GASPEREAU,1207021,,,,,,4790,6340,-0.9706,1,1,NA,NA,NA,5201,,
Newfoundland & Labrador,201,GAULTOIS,1003012,Gaultois,,,,,12912,16351,-0.7906,2,1,400,879,0.4546,179,,
Prince Edward Island,2027,GEORGETOWN - FISHERMEN'S WHARF,1101024,Georgetown,,,,,1490859,620048,0.0479,29,20,438932,2647266,0.1658,675,,
